Idx, Offset, ROM,    Length, T, Inflated
221, 05C760, 061440, 000190, 5, 001000
222, 05C8F0, 0615D0, 0000C0, 5, 001000
223, 05C9B0, 061690, 0001FC, 5, 001000
224, 05CBB0, 061890, 0000E8, 5, 001000
225, 05CC98, 061978, 000164, 5, 001000
226, 05CE00, 061AE0, 0000B4, 5, 001000
227, 05CEB8, 061B98, 0001F0, 5, 001000
228, 05D0A8, 061D88, 0000E4, 5, 001000
229, 05D190, 061E70, 000140, 5, 001000
22A, 05D2D0, 061FB0, 0000B2, 5, 001000
22B, 05D388, 062068, 0001CA, 5, 001000
22C, 05D558, 062238, 0000CA, 5, 001000
22D, 05D628, 062308, 000118, 5, 001000
22E, 05D740, 062420, 0000A2, 5, 001000
22F, 05D7E8, 0624C8, 0001A8, 5, 001000
230, 05D990, 062670, 0000BE, 5, 001000
231, 05DA50, 062730, 000106, 5, 001000
232, 05DB58, 062838, 00008E, 5, 001000
233, 05DBE8, 0628C8, 00019E, 5, 001000
234, 05DD88, 062A68, 0000AE, 5, 001000
235, 05DE38, 062B18, 0000E2, 5, 001000
236, 05DF20, 062C00, 000086, 5, 001000
237, 05DFA8, 062C88, 00015C, 5, 001000
238, 05E108, 062DE8, 000090, 5, 001000
239, 05E198, 062E78, 0000D0, 5, 001000
23A, 05E268, 062F48, 000080, 5, 001000
23B, 05E2E8, 062FC8, 000144, 5, 001000
23C, 05E430, 063110, 000080, 5, 001000
23D, 05E4B0, 063190, 0000B4, 5, 001000
23E, 05E568, 063248, 00006C, 5, 001000
23F, 05E5D8, 0632B8, 000106, 5, 001000
240, 05E6E0, 0633C0, 00007C, 5, 001000
241, 05E760, 063440, 00009A, 5, 001000
242, 05E800, 0634E0, 00006C, 5, 001000
243, 05E870, 063550, 0000E4, 5, 001000
244, 05E958, 063638, 000062, 5, 001000
245, 05E9C0, 0636A0, 000086, 5, 001000
246, 05EA48, 063728, 000062, 5, 001000
247, 05EAB0, 063790, 0000BC, 5, 001000
248, 05EB70, 063850, 000062, 5, 001000
249, 05EBD8, 0638B8, 00006A, 5, 001000
24A, 05EC48, 063928, 000052, 5, 001000
24B, 05ECA0, 063980, 000096, 5, 001000
24C, 05ED38, 063A18, 000052, 5, 001000
24D, 05ED90, 063A70, 000058, 5, 001000
24E, 05EDE8, 063AC8, 000050, 5, 001000
24F, 05EE38, 063B18, 000086, 5, 001000
250, 05EEC0, 063BA0, 000050, 5, 001000
251, 05EF10, 063BF0, 000052, 5, 001000
252, 05EF68, 063C48, 000052, 5, 001000
253, 05EFC0, 063CA0, 000074, 5, 001000
254, 05F038, 063D18, 000050, 5, 001000
255, 05F088, 063D68, 000052, 5, 001000
256, 05F0E0, 063DC0, 000050, 5, 001000
257, 05F130, 063E10, 00006C, 5, 001000
258, 05F1A0, 063E80, 000050, 5, 001000
259, 05F1F0, 063ED0, 000050, 5, 001000
25A, 05F240, 063F20, 000050, 5, 001000
25B, 05F290, 063F70, 000066, 5, 001000
25C, 05F2F8, 063FD8, 000050, 5, 001000
25D, 05F348, 064028, 000100, 0, 000100
25E, 05F448, 064128, 0002A6, 5, 001000
25F, 05F6F0, 0643D0, 0002FE, 5, 001000
260, 05F9F0, 0646D0, 0000FC, 5, 001000
261, 05FAF0, 0647D0, 0000FE, 5, 001000
262, 05FBF0, 0648D0, 0002AC, 5, 001000
263, 05FEA0, 064B80, 000300, 5, 001000
264, 0601A0, 064E80, 000100, 5, 001000
265, 0602A0, 064F80, 0000FE, 5, 001000
266, 0603A0, 065080, 0002AE, 5, 001000
267, 060650, 065330, 000332, 5, 001000
268, 060988, 065668, 000102, 5, 001000
269, 060A90, 065770, 00010A, 5, 001000
26A, 060BA0, 065880, 000306, 5, 001000
26B, 060EA8, 065B88, 00037A, 5, 001000
26C, 061228, 065F08, 000102, 5, 001000
26D, 061330, 066010, 0000F4, 5, 001000
26E, 061428, 066108, 000366, 5, 001000
26F, 061790, 066470, 0003D2, 5, 001000
270, 061B68, 066848, 000104, 5, 001000
271, 061C70, 066950, 000102, 5, 001000
272, 061D78, 066A58, 000416, 5, 001000
273, 062190, 066E70, 000452, 5, 001000
274, 0625E8, 0672C8, 000100, 5, 001000
275, 0626E8, 0673C8, 000122, 5, 001000
276, 062810, 0674F0, 0004C6, 5, 001000
277, 062CD8, 0679B8, 000476, 5, 001000
278, 063150, 067E30, 000128, 5, 001000
279, 063278, 067F58, 000154, 5, 001000
27A, 0633D0, 0680B0, 00055A, 5, 001000
27B, 063930, 068610, 000492, 5, 001000
27C, 063DC8, 068AA8, 0001BC, 5, 001000
27D, 063F88, 068C68, 0001AE, 5, 001000
27E, 064138, 068E18, 000590, 5, 001000
27F, 0646C8, 0693A8, 000502, 5, 001000
280, 064BD0, 0698B0, 00020A, 5, 001000
281, 064DE0, 069AC0, 0001F2, 5, 001000
282, 064FD8, 069CB8, 0005C4, 5, 001000
283, 0655A0, 06A280, 0004CC, 5, 001000
284, 065A70, 06A750, 00026C, 5, 001000
285, 065CE0, 06A9C0, 000248, 5, 001000
286, 065F28, 06AC08, 0005C0, 5, 001000
287, 0664E8, 06B1C8, 000470, 5, 001000
288, 066958, 06B638, 0002D4, 5, 001000
289, 066C30, 06B910, 000296, 5, 001000
28A, 066EC8, 06BBA8, 000592, 5, 001000
28B, 067460, 06C140, 000474, 5, 001000
28C, 0678D8, 06C5B8, 0002EC, 5, 001000
28D, 067BC8, 06C8A8, 0002F0, 5, 001000
28E, 067EB8, 06CB98, 00058E, 5, 001000
28F, 068448, 06D128, 0004B6, 5, 001000
290, 068900, 06D5E0, 000382, 5, 001000
291, 068C88, 06D968, 00032A, 5, 001000
292, 068FB8, 06DC98, 000550, 5, 001000
293, 069508, 06E1E8, 000498, 5, 001000
294, 0699A0, 06E680, 0003DC, 5, 001000
295, 069D80, 06EA60, 000352, 5, 001000
296, 06A0D8, 06EDB8, 00051C, 5, 001000
297, 06A5F8, 06F2D8, 0004A6, 5, 001000
298, 06AAA0, 06F780, 000442, 5, 001000
299, 06AEE8, 06FBC8, 00038C, 5, 001000
29A, 06B278, 06FF58, 00051E, 5, 001000
29B, 06B798, 070478, 000484, 5, 001000
29C, 06BC20, 070900, 000448, 5, 001000
29D, 06C068, 070D48, 00035C, 5, 001000
29E, 06C3C8, 0710A8, 0004CC, 5, 001000
29F, 06C898, 071578, 00043C, 5, 001000
2A0, 06CCD8, 0719B8, 00043C, 5, 001000
2A1, 06D118, 071DF8, 000330, 5, 001000
2A2, 06D448, 072128, 00048E, 5, 001000
2A3, 06D8D8, 0725B8, 0003D6, 5, 001000
2A4, 06DCB0, 072990, 000414, 5, 001000
2A5, 06E0C8, 072DA8, 000322, 5, 001000
2A6, 06E3F0, 0730D0, 00047E, 5, 001000
2A7, 06E870, 073550, 0003F0, 5, 001000
2A8, 06EC60, 073940, 00041C, 5, 001000
2A9, 06F080, 073D60, 000350, 5, 001000
2AA, 06F3D0, 0740B0, 000468, 5, 001000
2AB, 06F838, 074518, 00045C, 5, 001000
2AC, 06FC98, 074978, 000406, 5, 001000
2AD, 0700A0, 074D80, 000376, 5, 001000
2AE, 070418, 0750F8, 00044E, 5, 001000
2AF, 070868, 075548, 000418, 5, 001000
2B0, 070C80, 075960, 00040C, 5, 001000
2B1, 071090, 075D70, 00033E, 5, 001000
2B2, 0713D0, 0760B0, 0003A2, 5, 001000
2B3, 071778, 076458, 0003CC, 5, 001000
2B4, 071B48, 076828, 0003F4, 5, 001000
2B5, 071F40, 076C20, 0002CC, 5, 001000
2B6, 072210, 076EF0, 0002D0, 5, 001000
2B7, 0724E0, 0771C0, 000342, 5, 001000
2B8, 072828, 077508, 00035A, 5, 001000
2B9, 072B88, 077868, 000264, 5, 001000
2BA, 072DF0, 077AD0, 0001FE, 5, 001000
2BB, 072FF0, 077CD0, 00025E, 5, 001000
2BC, 073250, 077F30, 000296, 5, 001000
2BD, 0734E8, 0781C8, 0001E6, 5, 001000
2BE, 0736D0, 0783B0, 000178, 5, 001000
2BF, 073848, 078528, 0001B4, 5, 001000
2C0, 073A00, 0786E0, 00022A, 5, 001000
2C1, 073C30, 078910, 000176, 5, 001000
2C2, 073DA8, 078A88, 000134, 5, 001000
2C3, 073EE0, 078BC0, 00014E, 5, 001000
2C4, 074030, 078D10, 000180, 5, 001000
2C5, 0741B0, 078E90, 00014E, 5, 001000
2C6, 074300, 078FE0, 000BBA, 1, 001000
2C7, 074EC0, 079BA0, 000BD6, 1, 001000
2C8, 075A98, 07A778, 000BD6, 1, 001000
2C9, 076670, 07B350, 000BD4, 1, 001000
2CA, 077248, 07BF28, 000B78, 1, 001000
2CB, 077DC0, 07CAA0, 000AD6, 1, 001000
2CC, 078898, 07D578, 000A3A, 1, 001000
2CD, 0792D8, 07DFB8, 000A94, 1, 001000
2CE, 079D70, 07EA50, 000AA8, 1, 001000
2CF, 07A818, 07F4F8, 000B2C, 1, 001000
2D0, 07B348, 080028, 000B6E, 1, 001000
2D1, 07BEB8, 080B98, 000BCA, 1, 001000
2D2, 07CA88, 081768, 000BAE, 1, 001000
2D3, 07D638, 082318, 000BCC, 1, 001000
2D4, 07E208, 082EE8, 000C06, 1, 001000
2D5, 07EE10, 083AF0, 000BDE, 1, 001000
2D6, 07F9F0, 0846D0, 000B6C, 1, 001000
2D7, 080560, 085240, 000AAC, 1, 001000
2D8, 081010, 085CF0, 000A38, 1, 001000
2D9, 081A48, 086728, 000A74, 1, 001000
2DA, 0824C0, 0871A0, 000AF0, 1, 001000
2DB, 082FB0, 087C90, 000B0C, 1, 001000
2DC, 083AC0, 0887A0, 000B8C, 1, 001000
2DD, 084650, 089330, 000BB8, 1, 001000
2DE, 085208, 089EE8, 000952, 1, 001000
2DF, 085B60, 08A840, 0008C2, 1, 001000
2E0, 086428, 08B108, 000B54, 1, 001000
2E1, 086F80, 08BC60, 000C38, 1, 001000
2E2, 087BB8, 08C898, 000C30, 1, 001000
2E3, 0887E8, 08D4C8, 000542, 1, 001000
2E4, 088D30, 08DA10, 00031A, 1, 001000
33D, 089050, 08DD30, 0001D8, 3, 001000
33E, 089228, 08DF08, 0001EE, 3, 001000
33F, 089418, 08E0F8, 000212, 3, 001000
340, 089630, 08E310, 000226, 3, 001000
341, 089858, 08E538, 000226, 3, 001000
342, 089A80, 08E760, 000240, 3, 001000
343, 089CC0, 08E9A0, 000248, 3, 001000
344, 089F08, 08EBE8, 000260, 3, 001000
345, 08A168, 08EE48, 00028C, 3, 001000
346, 08A3F8, 08F0D8, 0002B2, 3, 001000
347, 08A6B0, 08F390, 0002E0, 3, 001000
348, 08A990, 08F670, 0002FA, 3, 001000
349, 08AC90, 08F970, 000322, 3, 001000
34A, 08AFB8, 08FC98, 000338, 3, 001000
34B, 08B2F0, 08FFD0, 000360, 3, 001000
34C, 08B650, 090330, 0003A6, 3, 001000
34D, 08B9F8, 0906D8, 0003C2, 3, 001000
34E, 08BDC0, 090AA0, 0003FE, 3, 001000
34F, 08C1C0, 090EA0, 000430, 3, 001000
350, 08C5F0, 0912D0, 000436, 3, 001000
351, 08CA28, 091708, 00046A, 3, 001000
352, 08CE98, 091B78, 000490, 3, 001000
353, 08D328, 092008, 0004C4, 3, 001000
354, 08D7F0, 0924D0, 00052A, 3, 001000
355, 08DD20, 092A00, 00056A, 3, 001000
356, 08E290, 092F70, 00057A, 3, 001000
357, 08E810, 0934F0, 0005B6, 3, 001000
358, 08EDC8, 093AA8, 0005F8, 3, 001000
359, 08F3C0, 0940A0, 0005F8, 3, 001000
35A, 08F9B8, 094698, 000612, 3, 001000
35B, 08FFD0, 094CB0, 000620, 3, 001000
35C, 0905F0, 0952D0, 000640, 3, 001000
35D, 090C30, 095910, 000626, 3, 001000
35E, 091258, 095F38, 0005FC, 3, 001000
35F, 091858, 096538, 0005E2, 3, 001000
360, 091E40, 096B20, 00058C, 3, 001000
361, 0923D0, 0970B0, 000572, 3, 001000
362, 092948, 097628, 000536, 3, 001000
363, 092E80, 097B60, 0004EE, 3, 001000
364, 093370, 098050, 0004B8, 3, 001000
365, 093828, 098508, 00044C, 3, 001000
366, 093C78, 098958, 00039E, 3, 001000
367, 094018, 098CF8, 00033E, 3, 001000
368, 094358, 099038, 000262, 3, 001000
369, 0945C0, 0992A0, 00019A, 3, 001000
36A, 094760, 099440, 0000B6, 3, 001000
36B, 094818, 0994F8, 00009C, 3, 001000
36C, 0948B8, 099598, 0000C2, 3, 000400
36D, 094980, 099660, 000154, 3, 000400
36E, 094AD8, 0997B8, 000122, 3, 000400
374, 094C00, 0998E0, 000100, 0, 000100
375, 094D00, 0999E0, 000050, 5, 001000
376, 094D50, 099A30, 000112, 5, 001000
377, 094E68, 099B48, 000190, 5, 001000
378, 094FF8, 099CD8, 000234, 5, 001000
379, 095230, 099F10, 000308, 5, 001000
37A, 095538, 09A218, 000370, 5, 001000
37B, 0958A8, 09A588, 000418, 5, 001000
37C, 095CC0, 09A9A0, 0004A6, 5, 001000
37D, 096168, 09AE48, 0004CA, 5, 001000
37E, 096638, 09B318, 00049C, 5, 001000
37F, 096AD8, 09B7B8, 000498, 5, 001000
380, 096F70, 09BC50, 000424, 5, 001000
381, 097398, 09C078, 0003F8, 5, 001000
382, 097790, 09C470, 0003BA, 5, 001000
383, 097B50, 09C830, 000368, 5, 001000
384, 097EB8, 09CB98, 000336, 5, 001000
385, 0981F0, 09CED0, 000312, 5, 001000
386, 098508, 09D1E8, 0002AC, 5, 001000
387, 0987B8, 09D498, 000260, 5, 001000
388, 098A18, 09D6F8, 0001F2, 5, 001000
389, 098C10, 09D8F0, 00019A, 5, 001000
38A, 098DB0, 09DA90, 000148, 5, 001000
38B, 098EF8, 09DBD8, 0000DA, 5, 001000
38C, 098FD8, 09DCB8, 0000AC, 5, 001000
38D, 099088, 09DD68, 00021A, 3, 001000
38E, 0992A8, 09DF88, 000382, 3, 001000
38F, 099630, 09E310, 0004A2, 3, 001000
390, 099AD8, 09E7B8, 000624, 3, 001000
391, 09A100, 09EDE0, 000644, 3, 001000
392, 09A748, 09F428, 000662, 3, 001000
393, 09ADB0, 09FA90, 0006A4, 3, 001000
394, 09B458, 0A0138, 0006D8, 3, 001000
395, 09BB30, 0A0810, 0006E6, 3, 001000
396, 09C218, 0A0EF8, 0006EE, 3, 001000
397, 09C908, 0A15E8, 000716, 3, 001000
398, 09D020, 0A1D00, 00070E, 3, 001000
399, 09D730, 0A2410, 00071E, 3, 001000
39A, 09DE50, 0A2B30, 00073E, 3, 001000
39B, 09E590, 0A3270, 00075C, 3, 001000
39C, 09ECF0, 0A39D0, 000750, 3, 001000
39D, 09F440, 0A4120, 000744, 3, 001000
39E, 09FB88, 0A4868, 000770, 3, 001000
39F, 0A02F8, 0A4FD8, 00075E, 3, 001000
3A0, 0A0A58, 0A5738, 000758, 3, 001000
3A1, 0A11B0, 0A5E90, 00076E, 3, 001000
3A2, 0A1920, 0A6600, 000752, 3, 001000
3A3, 0A2078, 0A6D58, 000776, 3, 001000
3A4, 0A27F0, 0A74D0, 000780, 3, 001000
3A5, 0A2F70, 0A7C50, 000774, 3, 001000
3A6, 0A36E8, 0A83C8, 000752, 3, 001000
3A7, 0A3E40, 0A8B20, 00074A, 3, 001000
3A8, 0A4590, 0A9270, 000724, 3, 001000
3A9, 0A4CB8, 0A9998, 000704, 3, 001000
3AA, 0A53C0, 0AA0A0, 0006E0, 3, 001000
3AB, 0A5AA0, 0AA780, 0006EE, 3, 001000
3AC, 0A6190, 0AAE70, 0006BA, 3, 001000
3AD, 0A6850, 0AB530, 0006DA, 3, 001000
3AE, 0A6F30, 0ABC10, 0006B0, 3, 001000
3AF, 0A75E0, 0AC2C0, 000688, 3, 001000
3B0, 0A7C68, 0AC948, 00065E, 3, 001000
3B1, 0A82C8, 0ACFA8, 00065A, 3, 001000
3B2, 0A8928, 0AD608, 000636, 3, 001000
3B3, 0A8F60, 0ADC40, 0005F0, 3, 001000
3B4, 0A9550, 0AE230, 0005AA, 3, 001000
3B5, 0A9B00, 0AE7E0, 00056C, 3, 001000
3B6, 0AA070, 0AED50, 000548, 3, 001000
3B7, 0AA5B8, 0AF298, 00052A, 3, 001000
3B8, 0AAAE8, 0AF7C8, 000504, 3, 001000
3B9, 0AAFF0, 0AFCD0, 0004C4, 3, 001000
3BA, 0AB4B8, 0B0198, 000494, 3, 001000
3BB, 0AB950, 0B0630, 000464, 3, 001000
3BC, 0ABDB8, 0B0A98, 000412, 3, 001000
3BD, 0AC1D0, 0B0EB0, 0003CA, 3, 001000
3BE, 0AC5A0, 0B1280, 000382, 3, 001000
3BF, 0AC928, 0B1608, 000316, 3, 001000
3C0, 0ACC40, 0B1920, 0002C6, 3, 001000
3C1, 0ACF08, 0B1BE8, 00027A, 3, 001000
3C2, 0AD188, 0B1E68, 000244, 3, 001000
3C3, 0AD3D0, 0B20B0, 000216, 3, 001000
3C4, 0AD5E8, 0B22C8, 0001C4, 3, 001000
3C5, 0AD7B0, 0B2490, 00019C, 3, 001000
3C6, 0AD950, 0B2630, 00015A, 3, 001000
3C7, 0ADAB0, 0B2790, 0000F6, 3, 001000
3C8, 0ADBA8, 0B2888, 0000A8, 3, 001000
3C9, 0ADC50, 0B2930, 000096, 3, 001000
3CA, 0ADCE8, 0B29C8, 00083E, 1, 001000
3CB, 0AE528, 0B3208, 000596, 1, 001000
3CC, 0AEAC0, 0B37A0, 0005DE, 1, 001000
3CD, 0AF0A0, 0B3D80, 0006A0, 1, 000800
3CE, 0AF740, 0B4420, 0006BE, 1, 001000
3CF, 0AFE00, 0B4AE0, 00077C, 1, 001000
3D0, 0B0580, 0B5260, 0007EE, 1, 001000
3D1, 0B0D70, 0B5A50, 000592, 1, 001000
3D2, 0B1308, 0B5FE8, 000A60, 1, 001000
3D3, 0B1D68, 0B6A48, 000B0C, 1, 001000
3D4, 0B2878, 0B7558, 000448, 1, 001000
3D5, 0B2CC0, 0B79A0, 000AA4, 1, 001000
3D6, 0B3768, 0B8448, 0008A8, 1, 001000
3D7, 0B4010, 0B8CF0, 0008CA, 1, 001000
3D8, 0B48E0, 0B95C0, 000414, 1, 001000
3D9, 0B4CF8, 0B99D8, 000AFC, 1, 001000
3DA, 0B57F8, 0BA4D8, 000774, 1, 001000
3DB, 0B5F70, 0BAC50, 000672, 1, 001000
3DC, 0B65E8, 0BB2C8, 000326, 1, 000800
3DD, 0B6910, 0BB5F0, 00095C, 1, 001000
3DE, 0B7270, 0BBF50, 000C2C, 1, 001000
3DF, 0B7EA0, 0BCB80, 000BD6, 1, 001000
3E0, 0B8A78, 0BD758, 000890, 1, 001000
3E1, 0B9308, 0BDFE8, 000A0A, 1, 001000
3E2, 0B9D18, 0BE9F8, 000770, 1, 001000
3E3, 0BA488, 0BF168, 00056A, 1, 001000
3E4, 0BA9F8, 0BF6D8, 00060A, 1, 001000
3E5, 0BB008, 0BFCE8, 00074E, 1, 001000
3E6, 0BB758, 0C0438, 00085C, 1, 001000
3E7, 0BBFB8, 0C0C98, 000908, 1, 001000
3E8, 0BC8C0, 0C15A0, 0009B6, 1, 001000
3E9, 0BD278, 0C1F58, 000B98, 1, 001000
3EA, 0BDE10, 0C2AF0, 0001A2, 1, 001000
3EB, 0BDFB8, 0C2C98, 00090C, 1, 001000
3EC, 0BE8C8, 0C35A8, 0006E8, 1, 001000
3ED, 0BEFB0, 0C3C90, 000608, 1, 001000
3EE, 0BF5B8, 0C4298, 000920, 1, 001000
3EF, 0BFED8, 0C4BB8, 0006A4, 1, 001000
3F0, 0C0580, 0C5260, 0002D6, 1, 001000
3F1, 0C0858, 0C5538, 000740, 1, 001000
3F2, 0C0F98, 0C5C78, 000A92, 1, 001000
3F3, 0C1A30, 0C6710, 000B66, 1, 001000
3F4, 0C2598, 0C7278, 000C08, 1, 001000
3F5, 0C31A0, 0C7E80, 000922, 1, 001000
3F6, 0C3AC8, 0C87A8, 000A38, 1, 001000
3F7, 0C4500, 0C91E0, 000BF4, 1, 001000
3F8, 0C50F8, 0C9DD8, 000482, 1, 001000
3F9, 0C5580, 0CA260, 000B76, 1, 001000
3FA, 0C60F8, 0CADD8, 0008F0, 1, 001000
3FB, 0C69E8, 0CB6C8, 0008EA, 1, 001000
3FC, 0C72D8, 0CBFB8, 000790, 1, 001000
3FD, 0C7A68, 0CC748, 0006D0, 1, 001000
3FE, 0C8138, 0CCE18, 000994, 1, 001000
3FF, 0C8AD0, 0CD7B0, 000842, 1, 001000
400, 0C9318, 0CDFF8, 000606, 1, 001000
401, 0C9920, 0CE600, 000398, 1, 001000
402, 0C9CB8, 0CE998, 0004C2, 1, 000800
403, 0CA180, 0CEE60, 0004C2, 1, 000800
404, 0CA648, 0CF328, 00071E, 1, 001000
405, 0CAD68, 0CFA48, 0003AA, 1, 000800
406, 0CB118, 0CFDF8, 00048C, 1, 000800
407, 0CB5A8, 0D0288, 000896, 1, 001000
408, 0CBE40, 0D0B20, 000A7A, 1, 001000
409, 0CC8C0, 0D15A0, 000476, 1, 001000
40A, 0CCD38, 0D1A18, 000964, 1, 001000
40B, 0CD6A0, 0D2380, 0003E2, 1, 000800
40C, 0CDA88, 0D2768, 0008D6, 1, 001000
40D, 0CE360, 0D3040, 0002FA, 1, 001000
40E, 0CE660, 0D3340, 0008FC, 1, 001000
40F, 0CEF60, 0D3C40, 0007D0, 1, 001000
410, 0CF730, 0D4410, 0009B2, 1, 001000
411, 0D00E8, 0D4DC8, 000704, 1, 001000
412, 0D07F0, 0D54D0, 0006D6, 1, 001000
413, 0D0EC8, 0D5BA8, 000470, 1, 000800
414, 0D1338, 0D6018, 0001E8, 1, 000400
415, 0D1520, 0D6200, 00009E, 1, 000200
416, 0D15C0, 0D62A0, 000184, 1, 000400
417, 0D1748, 0D6428, 0001EC, 1, 000200
418, 0D1938, 0D6618, 000B9C, 1, 001000
419, 0D24D8, 0D71B8, 00098A, 1, 001000
41A, 0D2E68, 0D7B48, 0007A4, 1, 001000
41B, 0D3610, 0D82F0, 0008D4, 1, 001000
41C, 0D3EE8, 0D8BC8, 000AFC, 3, 001000
41D, 0D49E8, 0D96C8, 000C96, 1, 001000
41E, 0D5680, 0DA360, 00071C, 1, 001000
41F, 0D5DA0, 0DAA80, 0006F2, 1, 001000
420, 0D6498, 0DB178, 000B86, 3, 001000
421, 0D7020, 0DBD00, 000B44, 3, 001000
422, 0D7B68, 0DC848, 000682, 1, 001000
423, 0D81F0, 0DCED0, 0009E0, 1, 001000
424, 0D8BD0, 0DD8B0, 000116, 1, 000400
425, 0D8CE8, 0DD9C8, 000B4C, 1, 001000
426, 0D9838, 0DE518, 0009BE, 1, 001000
427, 0DA1F8, 0DEED8, 000930, 1, 001000
428, 0DAB28, 0DF808, 0009C0, 1, 001000
429, 0DB4E8, 0E01C8, 000A6A, 1, 001000
42A, 0DBF58, 0E0C38, 000832, 1, 001000
42B, 0DC790, 0E1470, 000818, 1, 001000
42C, 0DCFA8, 0E1C88, 000902, 1, 001000
42D, 0DD8B0, 0E2590, 0006FA, 1, 001000
42E, 0DDFB0, 0E2C90, 000796, 1, 001000
42F, 0DE748, 0E3428, 000754, 1, 001000
430, 0DEEA0, 0E3B80, 0004D8, 1, 000AA0
431, 0DF378, 0E4058, 0005FE, 1, 000AA0
432, 0DF978, 0E4658, 00048A, 1, 001000
433, 0DFE08, 0E4AE8, 000CCC, 1, 001000
434, 0E0AD8, 0E57B8, 000B84, 1, 001000
435, 0E1660, 0E6340, 00088C, 1, 000C00
436, 0E1EF0, 0E6BD0, 00063A, 1, 000AA0
437, 0E2530, 0E7210, 00062E, 1, 001000
438, 0E2B60, 0E7840, 000724, 1, 001000
439, 0E3288, 0E7F68, 000696, 1, 001000
43A, 0E3920, 0E8600, 000980, 1, 001000
43B, 0E42A0, 0E8F80, 0007CC, 1, 001000
43C, 0E4A70, 0E9750, 000B88, 1, 001000
43D, 0E55F8, 0EA2D8, 000870, 1, 000AA0
43E, 0E5E68, 0EAB48, 000688, 1, 001000
43F, 0E64F0, 0EB1D0, 000656, 1, 001000
440, 0E6B48, 0EB828, 000486, 1, 000800
441, 0E6FD0, 0EBCB0, 000486, 1, 000800
442, 0E7458, 0EC138, 0002CE, 1, 000550
443, 0E7728, 0EC408, 0001BA, 1, 000400
444, 0E78E8, 0EC5C8, 001000, 0, 001000
445, 0E88E8, 0ED5C8, 001000, 0, 001000
446, 0E98E8, 0EE5C8, 001000, 0, 001000
447, 0EA8E8, 0EF5C8, 00067C, 1, 000800
448, 0EAF68, 0EFC48, 000732, 1, 001000
449, 0EB6A0, 0F0380, 000AF4, 1, 001000
44A, 0EC198, 0F0E78, 000A40, 1, 001000
44B, 0ECBD8, 0F18B8, 0007AC, 1, 001000
44C, 0ED388, 0F2068, 0001E0, 1, 000200
44D, 0ED568, 0F2248, 0001C0, 1, 000200
44E, 0ED728, 0F2408, 0001AE, 1, 000200
44F, 0ED8D8, 0F25B8, 0001EE, 1, 000400
450, 0EDAC8, 0F27A8, 0002BA, 1, 000400
451, 0EDD88, 0F2A68, 00013A, 1, 000200
452, 0EDEC8, 0F2BA8, 00027A, 1, 000400
453, 0EE148, 0F2E28, 0002E2, 1, 000400
454, 0EE430, 0F3110, 000830, 1, 001000
455, 0EEC60, 0F3940, 000550, 1, 001000
456, 0EF1B0, 0F3E90, 000786, 1, 001000
457, 0EF938, 0F4618, 0008EC, 1, 001000
458, 0F0228, 0F4F08, 0003B4, 1, 001000
459, 0F05E0, 0F52C0, 000650, 1, 001000
45A, 0F0C30, 0F5910, 000600, 1, 001000
45B, 0F1230, 0F5F10, 000576, 1, 001000
45C, 0F17A8, 0F6488, 000294, 1, 001000
45D, 0F1A40, 0F6720, 000578, 1, 001000
45E, 0F1FB8, 0F6C98, 00054C, 1, 000AA0
45F, 0F2508, 0F71E8, 000914, 1, 001000
460, 0F2E20, 0F7B00, 0007AA, 1, 000AA0
461, 0F35D0, 0F82B0, 000810, 1, 001000
462, 0F3DE0, 0F8AC0, 0003E4, 1, 000800
463, 0F41C8, 0F8EA8, 0009AA, 1, 001000
464, 0F4B78, 0F9858, 000BF6, 1, 001000
465, 0F5770, 0FA450, 00098A, 1, 001000
466, 0F6100, 0FADE0, 000860, 1, 001000
467, 0F6960, 0FB640, 0009F6, 1, 001000
468, 0F7358, 0FC038, 000482, 1, 001000
469, 0F77E0, 0FC4C0, 000932, 1, 001000
46A, 0F8118, 0FCDF8, 0007C6, 1, 001000
46B, 0F88E0, 0FD5C0, 0008FE, 1, 001000
46C, 0F91E0, 0FDEC0, 000112, 1, 000400
46D, 0F92F8, 0FDFD8, 0005BA, 1, 001000
46E, 0F98B8, 0FE598, 0001E2, 1, 000800
46F, 0F9AA0, 0FE780, 00068A, 1, 000800
470, 0FA130, 0FEE10, 000670, 1, 000800
471, 0FA7A0, 0FF480, 0005A4, 1, 001000
472, 0FAD48, 0FFA28, 00076E, 1, 001000
473, 0FB4B8, 100198, 00090C, 1, 000AA0
474, 0FBDC8, 100AA8, 00056A, 1, 001000
475, 0FC338, 101018, 000AB2, 1, 001000
476, 0FCDF0, 101AD0, 000680, 1, 000800
477, 0FD470, 102150, 00068C, 1, 000800
478, 0FDB00, 1027E0, 00066C, 1, 000800
479, 0FE170, 102E50, 00035A, 1, 000800
47A, 0FE4D0, 1031B0, 000C52, 1, 001000
47B, 0FF128, 103E08, 00098C, 1, 001000
47C, 0FFAB8, 104798, 000AD8, 1, 001000
47D, 100590, 105270, 00098A, 1, 001000
47E, 100F20, 105C00, 00077C, 1, 001000
47F, 1016A0, 106380, 00097A, 1, 001000
480, 102020, 106D00, 000A08, 1, 001000
481, 102A28, 107708, 000AE0, 1, 001000
482, 103508, 1081E8, 0000E4, 1, 000400
483, 1035F0, 1082D0, 000D7C, 1, 001000
484, 104370, 109050, 000732, 1, 001000
